card_id,disp_id,type,issued
1005,9285,classic,"1993-11-07 12:00:00"
104,588,classic,"1994-01-19 12:00:00"
747,4915,classic,"1994-02-05 12:00:00"
70,439,classic,"1994-02-08 12:00:00"
577,3687,classic,"1994-02-15 12:00:00"
377,2429,classic,"1994-03-03 12:00:00"
721,4680,junior,"1994-04-05 12:00:00"
437,2762,classic,"1994-06-01 12:00:00"
188,1146,classic,"1994-06-19 12:00:00"
13,87,classic,"1994-06-29 12:00:00"
732,4763,classic,"1994-07-21 12:00:00"
181,1066,classic,"1994-08-19 12:00:00"
384,2475,junior,"1994-09-15 12:00:00"
309,1946,classic,"1994-09-19 12:00:00"
478,3084,classic,"1994-10-09 12:00:00"
563,3589,classic,"1994-10-21 12:00:00"
369,2363,classic,"1994-11-08 12:00:00"
376,2428,classic,"1994-11-10 12:00:00"
483,3115,classic,"1994-11-24 12:00:00"
174,1039,junior,"1994-12-04 12:00:00"
658,4251,classic,"1994-12-25 12:00:00"
763,5138,junior,"1994-12-30 12:00:00"
778,5275,classic,"1995-01-02 12:00:00"
1039,9837,classic,"1995-01-07 12:00:00"
477,3082,junior,"1995-01-16 12:00:00"
168,1018,classic,"1995-01-24 12:00:00"
314,1999,junior,"1995-01-27 12:00:00"
468,3023,classic,"1995-01-30 12:00:00"
208,1246,gold,"1995-02-08 12:00:00"
766,5200,classic,"1995-02-11 12:00:00"
464,2984,classic,"1995-02-21 12:00:00"
497,3184,classic,"1995-03-03 12:00:00"
166,999,classic,"1995-03-05 12:00:00"
15,114,classic,"1995-03-05 12:00:00"
503,3225,classic,"1995-03-08 12:00:00"
1038,9787,junior,"1995-03-30 12:00:00"
737,4791,classic,"1995-04-13 12:00:00"
418,2623,classic,"1995-04-14 12:00:00"
759,5117,junior,"1995-04-18 12:00:00"
223,1353,classic,"1995-04-18 12:00:00"
5,51,junior,"1995-04-24 12:00:00"
159,946,classic,"1995-05-01 12:00:00"
1223,13231,junior,"1995-05-02 12:00:00"
662,4293,classic,"1995-05-09 12:00:00"
779,5323,junior,"1995-05-21 12:00:00"
1040,9890,junior,"1995-05-28 12:00:00"
545,3458,classic,"1995-05-30 12:00:00"
467,3019,classic,"1995-06-05 12:00:00"
1247,13660,classic,"1995-06-13 12:00:00"
652,4211,classic,"1995-06-16 12:00:00"
559,3573,classic,"1995-06-17 12:00:00"
719,4663,classic,"1995-06-24 12:00:00"
397,2513,classic,"1995-06-24 12:00:00"
107,593,classic,"1995-06-27 12:00:00"
661,4270,classic,"1995-07-03 12:00:00"
484,3116,classic,"1995-07-04 12:00:00"
501,3197,classic,"1995-07-09 12:00:00"
422,2650,junior,"1995-07-11 12:00:00"
705,4555,classic,"1995-07-12 12:00:00"
410,2569,classic,"1995-07-20 12:00:00"
136,778,classic,"1995-07-28 12:00:00"
592,3782,junior,"1995-08-07 12:00:00"
262,1647,junior,"1995-08-24 12:00:00"
18,128,classic,"1995-08-25 12:00:00"
3,41,gold,"1995-09-03 12:00:00"
98,537,classic,"1995-09-06 12:00:00"
167,1011,classic,"1995-09-15 12:00:00"
97,531,junior,"1995-09-19 12:00:00"
699,4532,classic,"1995-09-26 12:00:00"
342,2157,classic,"1995-09-27 12:00:00"
713,4627,classic,"1995-09-30 12:00:00"
118,652,classic,"1995-10-22 12:00:00"
783,5433,junior,"1995-10-24 12:00:00"
1103,11189,classic,"1995-11-04 12:00:00"
504,3230,junior,"1995-11-06 12:00:00"
261,1629,gold,"1995-11-09 12:00:00"
296,1876,gold,"1995-11-13 12:00:00"
113,629,junior,"1995-11-16 12:00:00"
92,508,classic,"1995-11-20 12:00:00"
1225,13268,classic,"1995-11-22 12:00:00"
393,2498,junior,"1995-12-03 12:00:00"
695,4507,classic,"1995-12-15 12:00:00"
666,4328,junior,"1995-12-25 12:00:00"
462,2978,classic,"1995-12-30 12:00:00"
85,489,classic,"1995-12-31 12:00:00"
337,2141,classic,"1996-01-01 12:00:00"
771,5233,classic,"1996-01-08 12:00:00"
379,2431,classic,"1996-01-12 12:00:00"
106,592,classic,"1996-01-14 12:00:00"
606,3883,classic,"1996-01-22 12:00:00"
427,2688,gold,"1996-01-25 12:00:00"
202,1228,classic,"1996-02-04 12:00:00"
814,5911,classic,"1996-02-15 12:00:00"
1064,10328,classic,"1996-02-17 12:00:00"
14,112,classic,"1996-02-17 12:00:00"
423,2657,classic,"1996-02-19 12:00:00"
989,9119,classic,"1996-02-21 12:00:00"
364,2329,classic,"1996-02-29 12:00:00"
267,1691,junior,"1996-03-09 12:00:00"
621,3970,junior,"1996-03-19 12:00:00"
1139,11836,junior,"1996-03-26 12:00:00"
725,4715,junior,"1996-03-30 12:00:00"
150,859,classic,"1996-03-30 12:00:00"
302,1900,classic,"1996-03-31 12:00:00"
372,2395,classic,"1996-03-31 12:00:00"
499,3187,classic,"1996-04-03 12:00:00"
229,1384,classic,"1996-04-05 12:00:00"
289,1831,junior,"1996-04-08 12:00:00"
1100,11101,junior,"1996-04-10 12:00:00"
37,238,classic,"1996-04-20 12:00:00"
286,1812,gold,"1996-04-21 12:00:00"
157,907,classic,"1996-04-24 12:00:00"
216,1310,junior,"1996-04-24 12:00:00"
977,8968,classic,"1996-05-08 12:00:00"
183,1080,classic,"1996-05-08 12:00:00"
945,8342,junior,"1996-05-09 12:00:00"
44,268,junior,"1996-05-17 12:00:00"
600,3829,classic,"1996-05-20 12:00:00"
127,714,classic,"1996-05-23 12:00:00"
764,5159,classic,"1996-05-29 12:00:00"
204,1239,junior,"1996-05-30 12:00:00"
1134,11742,classic,"1996-05-31 12:00:00"
312,1971,classic,"1996-06-08 12:00:00"
313,1980,classic,"1996-06-17 12:00:00"
641,4116,classic,"1996-06-18 12:00:00"
731,4751,classic,"1996-06-23 12:00:00"
84,487,classic,"1996-06-26 12:00:00"
265,1680,classic,"1996-06-28 12:00:00"
1176,12502,gold,"1996-07-03 12:00:00"
1233,13382,classic,"1996-07-06 12:00:00"
407,2555,classic,"1996-07-11 12:00:00"
320,2045,classic,"1996-07-11 12:00:00"
1187,12635,gold,"1996-07-17 12:00:00"
121,666,junior,"1996-07-22 12:00:00"
1055,10171,classic,"1996-07-24 12:00:00"
303,1912,classic,"1996-08-01 12:00:00"
651,4201,junior,"1996-08-02 12:00:00"
736,4789,classic,"1996-08-03 12:00:00"
24,153,junior,"1996-08-05 12:00:00"
587,3763,junior,"1996-08-05 12:00:00"
119,655,classic,"1996-08-08 12:00:00"
670,4343,classic,"1996-08-08 12:00:00"
227,1380,classic,"1996-08-10 12:00:00"
1164,12269,classic,"1996-08-12 12:00:00"
1043,9974,junior,"1996-08-14 12:00:00"
278,1779,classic,"1996-08-15 12:00:00"
103,584,junior,"1996-08-17 12:00:00"
673,4353,junior,"1996-08-31 12:00:00"
38,242,classic,"1996-08-31 12:00:00"
470,3036,classic,"1996-09-02 12:00:00"
890,7422,classic,"1996-09-08 12:00:00"
514,3267,classic,"1996-09-10 12:00:00"
741,4832,classic,"1996-09-11 12:00:00"
882,7195,classic,"1996-09-11 12:00:00"
12,83,junior,"1996-09-11 12:00:00"
152,876,classic,"1996-09-16 12:00:00"
163,984,classic,"1996-09-18 12:00:00"
708,4568,junior,"1996-09-24 12:00:00"
1087,10887,classic,"1996-10-06 12:00:00"
854,6753,classic,"1996-10-07 12:00:00"
601,3830,classic,"1996-10-08 12:00:00"
99,548,gold,"1996-10-09 12:00:00"
547,3477,classic,"1996-10-11 12:00:00"
40,255,classic,"1996-10-13 12:00:00"
220,1333,classic,"1996-10-13 12:00:00"
390,2490,classic,"1996-10-14 12:00:00"
776,5263,classic,"1996-10-19 12:00:00"
197,1202,junior,"1996-10-21 12:00:00"
516,3279,classic,"1996-10-25 12:00:00"
381,2440,classic,"1996-10-27 12:00:00"
1010,9413,classic,"1996-10-27 12:00:00"
813,5873,junior,"1996-10-28 12:00:00"
272,1754,junior,"1996-10-28 12:00:00"
772,5243,classic,"1996-10-30 12:00:00"
528,3356,classic,"1996-10-31 12:00:00"
1014,9452,classic,"1996-11-02 12:00:00"
87,493,classic,"1996-11-02 12:00:00"
88,496,classic,"1996-11-04 12:00:00"
441,2785,classic,"1996-11-05 12:00:00"
562,3583,classic,"1996-11-07 12:00:00"
690,4479,classic,"1996-11-07 12:00:00"
374,2423,classic,"1996-11-08 12:00:00"
57,347,classic,"1996-11-09 12:00:00"
722,4684,classic,"1996-11-14 12:00:00"
300,1890,classic,"1996-11-20 12:00:00"
117,649,junior,"1996-11-23 12:00:00"
541,3427,junior,"1996-11-26 12:00:00"
294,1861,classic,"1996-12-04 12:00:00"
10,77,classic,"1996-12-07 12:00:00"
710,4588,junior,"1996-12-10 12:00:00"
408,2560,classic,"1996-12-10 12:00:00"
363,2324,junior,"1996-12-11 12:00:00"
697,4518,classic,"1996-12-11 12:00:00"
433,2724,classic,"1996-12-12 12:00:00"
642,4137,classic,"1996-12-13 12:00:00"
243,1478,classic,"1996-12-13 12:00:00"
162,967,junior,"1996-12-23 12:00:00"
594,3794,junior,"1996-12-27 12:00:00"
609,3893,classic,"1996-12-29 12:00:00"
1111,11288,classic,"1996-12-31 12:00:00"
786,5478,classic,"1996-12-31 12:00:00"
1118,11393,classic,"1997-01-02 12:00:00"
175,1040,classic,"1997-01-03 12:00:00"
565,3601,gold,"1997-01-06 12:00:00"
714,4638,classic,"1997-01-09 12:00:00"
137,786,junior,"1997-01-10 12:00:00"
22,138,classic,"1997-01-11 12:00:00"
325,2102,classic,"1997-01-12 12:00:00"
194,1182,classic,"1997-01-13 12:00:00"
668,4340,classic,"1997-01-14 12:00:00"
706,4559,gold,"1997-01-16 12:00:00"
850,6644,classic,"1997-01-16 12:00:00"
298,1885,classic,"1997-01-17 12:00:00"
105,590,classic,"1997-01-17 12:00:00"
1036,9735,classic,"1997-01-17 12:00:00"
292,1842,gold,"1997-01-18 12:00:00"
112,626,junior,"1997-01-19 12:00:00"
678,4405,gold,"1997-01-20 12:00:00"
1093,11011,classic,"1997-01-20 12:00:00"
681,4426,classic,"1997-01-22 12:00:00"
582,3733,classic,"1997-01-22 12:00:00"
729,4740,junior,"1997-01-22 12:00:00"
54,334,classic,"1997-01-24 12:00:00"
258,1607,classic,"1997-01-26 12:00:00"
534,3387,classic,"1997-01-29 12:00:00"
667,4333,classic,"1997-01-31 12:00:00"
195,1194,classic,"1997-02-03 12:00:00"
199,1213,classic,"1997-02-07 12:00:00"
490,3136,gold,"1997-02-07 12:00:00"
347,2184,classic,"1997-02-11 12:00:00"
210,1253,classic,"1997-02-16 12:00:00"
293,1850,classic,"1997-02-17 12:00:00"
189,1157,classic,"1997-02-19 12:00:00"
324,2074,classic,"1997-02-19 12:00:00"
578,3689,junior,"1997-02-21 12:00:00"
266,1690,classic,"1997-03-04 12:00:00"
568,3615,classic,"1997-03-05 12:00:00"
171,1027,classic,"1997-03-05 12:00:00"
679,4416,classic,"1997-03-06 12:00:00"
841,6468,classic,"1997-03-06 12:00:00"
513,3260,classic,"1997-03-15 12:00:00"
647,4171,junior,"1997-03-21 12:00:00"
665,4318,classic,"1997-03-24 12:00:00"
400,2529,classic,"1997-04-06 12:00:00"
617,3944,gold,"1997-04-09 12:00:00"
709,4587,junior,"1997-04-11 12:00:00"
387,2481,classic,"1997-04-18 12:00:00"
226,1378,classic,"1997-04-18 12:00:00"
350,2226,classic,"1997-04-20 12:00:00"
539,3415,classic,"1997-04-23 12:00:00"
583,3735,classic,"1997-04-24 12:00:00"
576,3671,classic,"1997-04-30 12:00:00"
232,1396,classic,"1997-05-01 12:00:00"
730,4749,classic,"1997-05-02 12:00:00"
616,3943,classic,"1997-05-05 12:00:00"
564,3590,classic,"1997-05-06 12:00:00"
82,474,classic,"1997-05-07 12:00:00"
1173,12442,classic,"1997-05-08 12:00:00"
426,2686,classic,"1997-05-09 12:00:00"
791,5521,classic,"1997-05-12 12:00:00"
572,3636,junior,"1997-05-16 12:00:00"
375,2425,junior,"1997-05-17 12:00:00"
69,438,classic,"1997-05-17 12:00:00"
607,3885,classic,"1997-05-17 12:00:00"
155,900,junior,"1997-05-17 12:00:00"
275,1762,classic,"1997-05-20 12:00:00"
847,6610,classic,"1997-05-20 12:00:00"
399,2527,classic,"1997-05-22 12:00:00"
305,1914,classic,"1997-05-23 12:00:00"
430,2713,classic,"1997-05-26 12:00:00"
349,2214,classic,"1997-05-26 12:00:00"
256,1583,classic,"1997-05-26 12:00:00"
50,309,classic,"1997-05-28 12:00:00"
939,8217,junior,"1997-05-29 12:00:00"
110,608,classic,"1997-05-31 12:00:00"
184,1089,gold,"1997-06-03 12:00:00"
90,503,classic,"1997-06-04 12:00:00"
597,3813,junior,"1997-06-06 12:00:00"
471,3037,classic,"1997-06-09 12:00:00"
494,3173,classic,"1997-06-10 12:00:00"
211,1271,classic,"1997-06-10 12:00:00"
353,2259,classic,"1997-06-11 12:00:00"
213,1289,gold,"1997-06-11 12:00:00"
1009,9409,gold,"1997-06-14 12:00:00"
297,1883,classic,"1997-06-15 12:00:00"
801,5684,classic,"1997-06-15 12:00:00"
748,4923,classic,"1997-06-16 12:00:00"
133,742,classic,"1997-06-16 12:00:00"
316,2013,classic,"1997-06-17 12:00:00"
145,819,classic,"1997-06-17 12:00:00"
270,1736,junior,"1997-06-17 12:00:00"
1178,12542,classic,"1997-06-19 12:00:00"
222,1345,classic,"1997-06-19 12:00:00"
241,1461,classic,"1997-06-20 12:00:00"
280,1793,classic,"1997-06-22 12:00:00"
675,4376,classic,"1997-06-23 12:00:00"
108,597,classic,"1997-06-25 12:00:00"
1196,12805,classic,"1997-06-27 12:00:00"
287,1819,junior,"1997-06-28 12:00:00"
443,2808,classic,"1997-06-29 12:00:00"
1138,11825,classic,"1997-06-29 12:00:00"
733,4764,junior,"1997-06-30 12:00:00"
311,1954,classic,"1997-07-01 12:00:00"
120,662,classic,"1997-07-03 12:00:00"
122,667,junior,"1997-07-03 12:00:00"
476,3079,classic,"1997-07-06 12:00:00"
781,5366,classic,"1997-07-07 12:00:00"
588,3765,classic,"1997-07-08 12:00:00"
403,2538,junior,"1997-07-12 12:00:00"
139,797,classic,"1997-07-14 12:00:00"
553,3522,classic,"1997-07-14 12:00:00"
625,3987,classic,"1997-07-17 12:00:00"
413,2592,junior,"1997-07-20 12:00:00"
591,3779,classic,"1997-07-23 12:00:00"
694,4504,classic,"1997-07-24 12:00:00"
512,3259,classic,"1997-07-24 12:00:00"
1095,11023,gold,"1997-07-28 12:00:00"
1059,10235,classic,"1997-07-29 12:00:00"
75,457,classic,"1997-07-29 12:00:00"
383,2469,classic,"1997-07-30 12:00:00"
115,638,classic,"1997-07-30 12:00:00"
884,7286,gold,"1997-07-31 12:00:00"
454,2921,classic,"1997-08-01 12:00:00"
688,4472,classic,"1997-08-01 12:00:00"
936,8030,classic,"1997-08-02 12:00:00"
663,4295,classic,"1997-08-06 12:00:00"
637,4094,junior,"1997-08-06 12:00:00"
511,3257,junior,"1997-08-06 12:00:00"
1220,13160,classic,"1997-08-08 12:00:00"
628,4007,classic,"1997-08-11 12:00:00"
718,4660,classic,"1997-08-12 12:00:00"
238,1452,gold,"1997-08-17 12:00:00"
546,3465,gold,"1997-08-19 12:00:00"
660,4265,junior,"1997-08-19 12:00:00"
491,3151,classic,"1997-08-21 12:00:00"
140,798,classic,"1997-08-22 12:00:00"
502,3201,classic,"1997-08-22 12:00:00"
598,3821,classic,"1997-08-23 12:00:00"
355,2267,classic,"1997-08-28 12:00:00"
43,267,classic,"1997-08-29 12:00:00"
610,3894,classic,"1997-08-29 12:00:00"
182,1067,gold,"1997-08-31 12:00:00"
41,256,classic,"1997-08-31 12:00:00"
91,504,junior,"1997-09-01 12:00:00"
252,1529,classic,"1997-09-02 12:00:00"
495,3181,classic,"1997-09-02 12:00:00"
259,1610,classic,"1997-09-05 12:00:00"
187,1140,classic,"1997-09-07 12:00:00"
185,1098,classic,"1997-09-07 12:00:00"
1025,9625,classic,"1997-09-08 12:00:00"
19,130,classic,"1997-09-09 12:00:00"
431,2715,gold,"1997-09-12 12:00:00"
356,2268,classic,"1997-09-13 12:00:00"
767,5204,classic,"1997-09-14 12:00:00"
537,3405,classic,"1997-09-15 12:00:00"
703,4546,classic,"1997-09-17 12:00:00"
671,4345,classic,"1997-09-17 12:00:00"
896,7567,classic,"1997-09-18 12:00:00"
343,2164,classic,"1997-09-21 12:00:00"
279,1791,classic,"1997-09-21 12:00:00"
622,3981,junior,"1997-09-22 12:00:00"
612,3906,classic,"1997-09-22 12:00:00"
206,1243,classic,"1997-09-22 12:00:00"
190,1165,classic,"1997-09-23 12:00:00"
1203,12893,classic,"1997-09-26 12:00:00"
234,1424,classic,"1997-09-29 12:00:00"
30,202,classic,"1997-10-01 12:00:00"
327,2117,classic,"1997-10-03 12:00:00"
49,305,classic,"1997-10-03 12:00:00"
1115,11375,junior,"1997-10-03 12:00:00"
698,4522,gold,"1997-10-07 12:00:00"
874,7127,gold,"1997-10-07 12:00:00"
247,1500,junior,"1997-10-08 12:00:00"
656,4235,classic,"1997-10-08 12:00:00"
436,2759,classic,"1997-10-09 12:00:00"
124,688,classic,"1997-10-10 12:00:00"
633,4078,classic,"1997-10-12 12:00:00"
428,2698,classic,"1997-10-13 12:00:00"
638,4100,gold,"1997-10-14 12:00:00"
153,886,gold,"1997-10-19 12:00:00"
596,3811,classic,"1997-10-19 12:00:00"
664,4316,classic,"1997-10-22 12:00:00"
251,1525,classic,"1997-10-23 12:00:00"
552,3519,classic,"1997-10-25 12:00:00"
9,76,classic,"1997-10-25 12:00:00"
11,79,gold,"1997-10-25 12:00:00"
650,4194,classic,"1997-10-26 12:00:00"
59,365,classic,"1997-10-27 12:00:00"
1016,9525,classic,"1997-10-28 12:00:00"
359,2299,classic,"1997-10-29 12:00:00"
438,2768,classic,"1997-10-30 12:00:00"
94,513,classic,"1997-11-06 12:00:00"
1056,10220,classic,"1997-11-06 12:00:00"
273,1758,classic,"1997-11-07 12:00:00"
947,8366,classic,"1997-11-08 12:00:00"
93,510,classic,"1997-11-09 12:00:00"
762,5132,classic,"1997-11-10 12:00:00"
254,1578,classic,"1997-11-11 12:00:00"
611,3896,classic,"1997-11-13 12:00:00"
648,4188,classic,"1997-11-18 12:00:00"
373,2401,classic,"1997-11-18 12:00:00"
579,3699,classic,"1997-11-18 12:00:00"
555,3544,classic,"1997-11-19 12:00:00"
329,2122,gold,"1997-11-19 12:00:00"
707,4560,classic,"1997-11-21 12:00:00"
51,321,classic,"1997-11-21 12:00:00"
382,2445,gold,"1997-11-22 12:00:00"
472,3056,classic,"1997-11-24 12:00:00"
237,1445,classic,"1997-11-25 12:00:00"
1234,13386,classic,"1997-11-28 12:00:00"
86,490,classic,"1997-11-28 12:00:00"
540,3425,classic,"1997-11-29 12:00:00"
493,3167,classic,"1997-11-30 12:00:00"
532,3382,classic,"1997-11-30 12:00:00"
590,3769,classic,"1997-12-02 12:00:00"
942,8295,classic,"1997-12-02 12:00:00"
33,221,junior,"1997-12-03 12:00:00"
739,4821,classic,"1997-12-03 12:00:00"
45,272,classic,"1997-12-05 12:00:00"
25,158,classic,"1997-12-06 12:00:00"
200,1220,gold,"1997-12-09 12:00:00"
268,1707,gold,"1997-12-11 12:00:00"
507,3245,classic,"1997-12-11 12:00:00"
569,3616,classic,"1997-12-12 12:00:00"
282,1799,gold,"1997-12-13 12:00:00"
536,3404,classic,"1997-12-13 12:00:00"
1022,9606,classic,"1997-12-13 12:00:00"
1105,11237,classic,"1997-12-13 12:00:00"
326,2104,classic,"1997-12-14 12:00:00"
380,2434,classic,"1997-12-15 12:00:00"
723,4699,classic,"1997-12-15 12:00:00"
81,473,classic,"1997-12-17 12:00:00"
521,3310,classic,"1997-12-17 12:00:00"
608,3890,classic,"1997-12-17 12:00:00"
589,3766,junior,"1997-12-20 12:00:00"
281,1795,classic,"1997-12-22 12:00:00"
891,7434,classic,"1997-12-23 12:00:00"
774,5249,classic,"1997-12-25 12:00:00"
566,3606,classic,"1997-12-25 12:00:00"
575,3667,gold,"1997-12-25 12:00:00"
154,887,classic,"1997-12-28 12:00:00"
130,722,classic,"1997-12-29 12:00:00"
434,2739,classic,"1997-12-30 12:00:00"
83,483,classic,"1998-01-05 12:00:00"
